;BB;cond;age;zf0c_Original;zf0c_Original_mum;M_minus_NM;M_minus_NM_mum
0;12;m100;6.3;0.38843520862177466;-0.294829888145709;-44.04943870817476;-26.903110687022945
1;15;p100;6.466666666666667;-0.48999024888132087;-0.45485388581443864;40.72979408461259;43.46481090589276
2;18;m100;7.166666666666667;0.36805104860111254;1.2145767107439431;-81.62903429734047;-91.36375688267674
3;21;m100;6.466666666666667;-0.30578768046220933;0.21459487062943278;-37.37558408041292;-72.05396072013093
4;23;m100;6.433333333333334;0.5375314373066509;0.4597521151843658;-50.01053244374668;-22.13766944114161
5;27;m100;3.5666666666666664;-0.05249432860783277;0.06714459933667898;-43.814141501294216;-67.08839016653462
6;31;m100;3.8;-0.2580205699924266;0.6203259317941616;-35.76168384879725;-66.46426409903734
7;36;p100;3.7333333333333334;-0.47214923518317864;-1.6471661587688444;49.188814538043516;15.837037830121346
8;38;p100;6.4;-0.24055847724773688;1.7143759328303358;41.485657263481016;158.20387096774198
9;45;p100;6.4;-0.42679073431394776;-0.14282077607166715;47.15189835719099;13.299966244725852
10;47;m100;6.3;0.15314346251354766;3.1615940402971097;-21.786401823510232;-24.17709016393451
11;52;m100;6.3;-0.14973811406115922;-0.40292227171851325;-18.625222510007177;-10.243654359430707
12;56;p100;6.333333333333333;-0.007881471094083369;1.7253731497563467;24.913606269423042;14.761954674220533
13;61;m100;3.6;0.9854239186942784;0.008212278457947197;-19.518361979466988;-13.273187119675356
14;68;m100;6.1;0.42470121134311284;2.3206260870684217;-31.082325662482617;-13.038135726303949
15;69;m100;6.133333333333334;0.10935114024416372;-4.34794816145683;-23.84436491677343;-10.05195278111239
16;70;p100;6.333333333333333;-0.5115511176996409;0.41474043709634273;25.16014109926158;33.096105188344154
17;71;p100;3.8333333333333335;-0.2503715057799215;-0.15135772342910128;23.242922421276944;25.28734627831716
18;72;m100;6.5;-0.06701302885169749;-0.9574609491011106;-18.070149347389588;-5.586320640842757
19;74;p100;6.333333333333333;-0.09783055874096855;1.3787775649570935;27.828650870893057;-7.298438761776538
20;77;m100;6.0;0.07052328131788942;0.20423814883685087;-30.146694063128507;-18.111577464788752
21;81;p100;6.2;0.050343629915683565;-0.32176752921966467;22.63882052958479;3.2841297935102602
22;88;p100;6.0;-0.2286778839710169;0.0886326930933547;17.583021047227874;1.9184013050571593
23;90;m100;5.933333333333334;0.15939522714200285;-0.09182278387212009;-15.98594603328496;-3.862600795002777
24;91;m100;6.0;-0.05540029190704451;-0.6327309587516236;-17.60990908118515;2.1839640287770408
25;92;m100;5.766666666666667;-0.28234479356202535;-0.232432915841887;-19.910583617241798;-15.723011664899218
26;101;neutre;6.3;0.13019100559130092;2.0198952466828146;-0.4077100000000087;-8.787168021680372
27;103;p100;3.666666667;0.07787889332890122;1.8940812874422972;22.252568457538928;60.10437262357368
28;104;p100;4.0;-0.06956795232228061;1.7605510594522131;29.48742500842593;-3.7577627118648707
29;109;neutre;6.066666667;0.49399935196290684;-1.30908732902214;0.043877130548935384;11.540869873956979
30;110;m100;3.7333333333333334;0.2267626707453298;-3.594808072276243;-21.909778603160703;-5.951994704324932
31;111;neutre;6.266666666666667;0.21600682167222685;-0.668527477963188;-0.34988649262203353;-0.07976943044741347
32;114;neutre;6.266666666666667;-0.13697422519276645;0.6918734185878153;-0.8325428112736972;-9.853579562942741
33;115;neutre;6.1;0.19778596111531468;0.19162877588769486;-0.5328216599815505;-1.4164348226624952
34;116;neutre;6.4;-0.0340139265815166;0.3503179328688007;2.1017865196693037;-4.767059428336438
35;117;neutre;6.6;-0.5952492465820987;-0.6737120133982922;0.056525157232727;0.10014194702137047
36;118;m100;4.033333333333333;-0.19033008228767329;-0.7269184856641964;-15.551002718212033;-5.101279799247095
37;120;m100;3.5666666666666664;0.44064651341124234;-0.6678953116420618;-18.10211089761185;-8.9623622047244
38;121;neutre;6.433333333333334;0.3565279615503141;-0.4079526137159842;-0.12289815115150304;-0.5835432300163461
39;122;neutre;6.066666666666666;-0.5143750767096757;-0.9949391608998145;-0.421425178147274;-0.16067241567515111
40;125;p100;4.333333333333333;-0.5939721839525467;-0.6835730680775711;17.11750582448866;11.853459715639815
41;127;m100;4.2;-0.2645671440344364;-0.39529573205173246;-22.949859908303665;-3.631606728538202
42;129;p100;3.7333333333333334;-0.20364216728798953;-0.4386402754473417;17.554879914984042;8.890574946575725
43;130;p100;3.7666666666666666;-0.13134530137471423;-0.3091294330311692;14.738507837740826;4.582404403244425
44;131;neutre;6.1;-0.7411160733974297;-0.0476604099209357;-0.3085165326183983;37.36944055944059
45;134;m100;3.6333333333333333;1.3835981161157325;-0.3954850491400181;-21.46857784826841;-0.3425278639550129
46;141;neutre;3.9333333333333336;0.28521076137253204;1.2406018163088932;-0.23834001603853494;-14.000665434380835
47;142;neutre;3.533333333333333;-0.2710789047777069;-0.3034656058675729;-1.258070228091185;-0.04194389438953294
48;143;neutre;3.9;1.0139132992138056;0.13342754859484904;-0.4639898742445894;-0.4111583577712281
49;144;neutre;3.9;0.3138264692518903;-0.1611241417292221;-0.392548725637198;-0.9935849056603274
50;148;p100;3.6;-0.22869248831848402;-1.0264096025686564;10.691885069817317;3.1127026739673624
51;149;neutre;3.6666666666666665;1.3256406929618503;1.6232881189893311;0.0871267723102278;2.212370600414147
52;150;neutre;3.8333333333333335;1.4552834763005507;-0.8610768192686435;7.928345428156831;-2.3106904357667872
53;155;neutre;3.6666666666666665;-0.17118965565467617;-0.19745161147521667;-2.5500931677018457;-1.6843561208267488
54;159;neutre;3.466666666666667;1.2717270917309675;-0.9705905695248799;-1.213299646286032;-1.9927573799982952
55;161;neutre;3.966666666666667;-0.23297600660546136;-0.3127466727659355;0.2807924203272023;0.0945063405796418
56;163;neutre;3.5666666666666664;0.8720739374435413;0.47596819637010995;0.10649909045810091;-3.740656934306571
